Questions,Answers
Does HUBAIX BANK have travel offers and benefits for credit or debit card customers?,"Yes, as a valued HUBAIX BANK member, you can enjoy a variety of travel and hotel offers! These include discounts on bookings, beach access, resort deals, dining discounts at various hotels, discounted stays, and much more. You can easily browse these offers by filtering through the “Travel & Hotels” category."
Which branches have Safe Deposit Boxes?,"You can find HUBAIX BANK branches in the following locations, In Abu Dhabi We have, HUBAIX BANK One Tower, Khubeirah, Corniche, Al Bateen, Sheikh Rashid Road, Al Etihad, Business Park, Al Ain, & Al Dhafra Region: Al Ain New, Madinat Zayed.In Dubai we have, Dubai Health Care City, Mirdif, Sheikh Zayed Road, Jumeirah, Umm Suqeim. In Sharjah & N.E we have, Sharjah Main, Al Riffa,RAK Khorfkhan, Fujairah, RAK Main"
"What if my voice is affected because of illness (e.g., flu or sore throat)?","You can use your Voice Password for verification, unless your voice is severely affected. If you're unable to use it due to illness or noisy conditions, the IVR will offer the conventional authentication method using your card number and PIN."
What is the cut-off time for transfers within the UAE?,"For transfers up to AED 10,000, we process them instantly. For transfers above AED 10,000, If you submit the request before 4 p.m. on a working day, it will be processed on the same day. If the request is made after 4 p.m. or on a bank holiday, it will be processed on the next working day."
What is the maximum amount that I can transfer through the HUBAIX BANK Mobile App or Online Banking?,"Personal & Business Banking customers can transfer up to AED 100,000.Elite Customers have a higher limit of AED 200,000."
"If I am a Business Banking customer, can I still do my transactions in a new branch?","Yes, all our Business Banking customers can complete their banking needs using the ATMs and Cash Deposit Machines in our new branches."
What is the maximum amount that I can transfer through the HUBAIX BANK Mobile App or Online Banking?,"You can transfer up to AED 100,000 per day. However, there are additional transaction and monthly limits that may apply."
What are the key features of HUBAIX BANK’s Online Banking service?,"HUBAIX BANK Online Banking offers a range of convenient features, including, Account Management in this feature we can View and download statements, check unbilled transactions.We Offer Card & Cheque Services like, Request cheque books, activate cards, reset PINs, we can Transfer funds instantly, including international remittances. And we have Bill Payments too, like Pay utility bills quickly and securely.and we Offer Banking Products like Apply for loans, term deposits, and other financial products. also we Offer Multilanguage Support to our customers Available in both English and Arabic for ease of use."
How can I stay updated on all of HUBAIX BANK's offers?,"The best way to stay updated on all of our exciting offers is to regularly check our website or HUBAIX BANK Mobile app. Ensure your contact details are up to date so you can receive offers and promotions via SMS, EDMs, and push notifications."
Has your telephone banking menu changed?,"Yes, the telephone banking menu has been updated. Please listen carefully before making a selection."
How do I report any fraudulent or suspicious account activity?,"Please call our 24-hour contact centre at 600 52 5500 immediately to report any fraudulent or suspicious activity on your account or card. if you are not still satisfied you can ask me, I am here to help you. We offer our clients a secure way of banking."
What if I want to hear the information again?,"At the end of each inquiry, you can ask the Virtual Agent to “Repeat” the information to hear it again before proceeding to the next service or inquiry."
What are the Safe Deposit charges?,"Looking for a safe deposit box? Here’s what you need to know, You’ll need to place a deposit of AED 3,000. we have Annual rental charges for this process, Small box: AED 750/year, Medium box: AED 1,000/year, Large box: AED 1,500/year, and for Extra Large box: AED 2,000/year. Just a heads-up, these charges were last updated on 15-July-2017. Let us know if you need any help! "
What is the password to view my credit card e-statement attachment?,"Need help accessing your credit card e-statement? Your password is super simple! Just combine, Your year of birth (e.g., 1989), and the last four digits of your registered mobile number (e.g., 050-1234567 → 4567). So, if you were born in 1989 and your mobile number ends in 4567, your password would be 19894567. Give it a try, and let us know if you need any assistance! "
What is the password to view my account e-statement attachment?,"Need to open your e-statement? Your password is easy to remember! Just combine, the last four digits of your account number (e.g., 1234). Your birthdate in DDMM format (e.g., 01-02 → 0102). So, if your account number ends in 1234 and your birthdate is 01-02-1989, your password would be 12340102. Try it out, and if you need help, we’re here for you!"
How can I apply for a HUBAIX BANK product? (Account/Card/Loan),"Want to apply for a HUBAIX BANK product? It’s super easy, just open HUBAIX BANK Mobile, tap the menu and select ‘Apply for a new product’ under ‘Projects Manager’. You can do this same through our webiste just go to our website, and explore the products that suit your needs. That’s it! Simple, fast, and convenient."
What are the Customer Contact Centre numbers?,"Need to get in touch with us? Here’s how, for the Main Customer Contact Centre: 600 52 5500. and for the Private Banking & Elite Clients: 800 40 000. and also for Business Banking: 600 52 2235. For other services and international numbers, check out our full contact list. We’re here to help you."
What are the features of HUBAIX BANK ATMs and CDMs?,"Our upgraded HUBAIX BANK ATMs and CDMs now offer even more convenience! Here’s what you can do, you can update your details, like Easily update your mobile number, email, or Emirates ID. You can go contactless.Enjoy seamless, tap-and-go transactions. We offer Secure deposits, we require Emirates ID verification for cash deposits. We offers Flexible withdrawals, like Withdraw in AED 1000 denominations. Also we have more bunch of services, like Deposit cash or cheques, check your balance, pay credit card bills, donate to charity, and more. We made Banking easier, just for you! "
How can I access HUBAIX BANK Online Banking?,"If you are an existing Online Banking user, you will need to create a new login password as follows: 1. Enter your Customer ID number / debit / credit card number. 2. Enter the One Time Password (Split OTP) – 3 digits sent to your registered mobile number and 3 digits sent to your registered email (in a password-protected PDF attachment). 3. Create a new password."
Can I make a transfer through HUBAIX BANK Mobile?,"Absolutely! Whether it’s a one-time transfer or a recurring one, setting it up on HUBAIX BANK Mobile is quick and easy.Here’s what you can do, You have to add a beneficiary, Save your recipient’s details for future transfers. You can make an international transfer, Send money globally in just a few taps. you can transfer within the UAE, Move funds effortlessly between local accounts. Also you can Explore Digital Transfers & Remittances, Discover seamless ways to send money. Managing your transfers has never been more convenient!"
Will I be able to enjoy any special dining offers as a HUBAIX BANK customer?,"Absolutely! As a HUBAIX BANK customer, you and your family can enjoy amazing dining deals. Whether you're craving fast food or indulging in gourmet cuisine, there’s something for everyone. Browse through a wide range of restaurant offers and dining discounts by filtering the “Dining” category. Bon appétit!"
What happens if I need to complete a transaction that I cannot do on the self-service machines?,"No worries! If you're unable to complete your transaction on the self-service machines, one of our staff members will be there to assist you. They can help you through digital channels like HUBAIX BANK Mobile or Online Banking. If you don't have the mobile app, they’ll help you download and set it up, showing you how to use it. And if the transaction can't be done on the app or online banking, they’ll guide you to the nearest branch with full teller services to complete it. "
What if I want to speak to a human?,"The Virtual Agent is designed to understand the service you need and will direct you to the right channel. Whether that’s self-service options or connecting you with a Customer Service Agent, it’s all set up to make your experience smoother. "
What if someone uses a recording of my voice?,"The voice biometrics system uses advanced Liveness Detection Technology, which can detect if a recording of your voice is being used. If it detects something suspicious, it will ask you to say another phrase for extra verification. We recommend taking care to prevent your voice from being recorded to help keep your account secure."
